,,,,,,,,,,,
Empanelled Hospital List - Maharashtra,,,,,,,,,,,
Sr No,Hospital,Location,City,District,State,Address,STD_Code,Tel_no,Status,PPN Hospital,PPN City
125,Phoenix Critical Care Centre,Subhash Road,Beed,Beed,Maharashtra,"Gurukrupa, Subhash Road",02442,231731,Empanelled,PPN Not Applicable,Other
126,Vithai Hospital & Research Centre,Jirewadi,Beed,Beed,Maharashtra,"Dr Lahane Farm, Jirewadi, Jalna Road, Beed",02442,231218,Empanelled,PPN Not Applicable,Other
127,Jadhav Hospital & Maternity Home,kada,kada,Beed,Maharashtra,At & Post Kada Taluka Ashti,02441,239154,Empanelled,PPN Not Applicable,Other
128,Shivam Netralaya & Nursing Home,Gandhi Market,Parli Vaijanath,Beed,Maharashtra,"Gandhi Market, Mondha, Parli Vaijanath",02446,224249,Empanelled,PPN Not Applicable,Other
129,Indrakshi Eye Care,Nagpur Bhandara Road,Bhandara,Bhandara,Maharashtra,Takiya Ward Rajeev Gandhi Square Near Dr Shripad Hospital Nagpur Bhandara Road,07184,219620,Empanelled,PPN Not Applicable,Other
130,Laksh Hospital  Vyas Fracture Accident & Ayurveda Hospital,Nr Sai Mandir,Bhandara,Bhandara,Maharashtra,"Near Sai Mandir, Takiya Ward",07184,258841,Empanelled,PPN Not Applicable,Other
131,Nakade Nursing Home,Nagpur Road,Bhandara,Bhandara,Maharashtra,Behind Indralok Sabhagrah Nagpur Road,07184,250825,Empanelled,PPN Not Applicable,Other
132,Dr Chinchole Netra Ruganalay & Laser Centre,Circular Road,Buldhana,Buldhana,Maharashtra,Circular Road Chinchole Chowk,07262,242206,Empanelled,PPN Not Applicable,Other
133,Laddhad Hospital,Behind Bus Stand,Buldhana,Buldhana,Maharashtra,"Wankhede Lay Out, Buldhana",07262,9850503697,Empanelled,PPN Not Applicable,Other
134,Mehetre Hospital,Suwarna Nagar,Buldhana,Buldhana,Maharashtra,Wankhede Layout Suwarna Nagar Behind Shivaji College,07262,246033,Empanelled,PPN Not Applicable,Other
